key,en,es
kole1,Finally! That took you forever!,
kole2,Wow! I can see the stars up close!,
kole3,This is so cool! It’s like millions and millions of Christmas lights!,
kole4,Yeah! It looks like a giant fireball,
kole5,sigh,
kole6,I don’t get it. I just see a bunch of stars,
kole7,Hey! You don’t have to be so mean about it,
kole8,I see it! I just had to really focus on it,
kole9,He was the best chef in the whole world! Is there any more to find?,
kole10,Found it!,
kole11,"this one looks kinda weird, I can’t tell what it is",
kole12,"Eww, those are disgusting. Doesn’t it hurt to touch them",
kole13,I don’t want to ever touch that,
kole14,I did it again!,
kole15,I remember seeing this one with grandpa once,
kole16,"Look again, try changing your perspective",
kole17,This page must have been from when grandpa caught an octopus,
kole18,Yup! He came over the next day still covered in ink it was hilarious,
kole19,Let’s keep looking for the next one,
kole20,This is awesome!,
kole21,You liar! He didn’t get swallowed by a whale,
kole22,What the? A new one appeared! Heidi look! A new star!,
kole23,No really! It did I promise,
kole24,Do you think that’s grandpa? You said he went to the sky right?,
kole25,"No it has to be him! Why else would he have given us his telescope, he wanted us to see him!",
kole26,No I wanna stay! There’s still a missing spot,
kole27,Let’s draw grandpa’s constellation,
